tanggal,TAVG,RH_AVG,RR,FF_AVG,sumber_file
2024-04-03,26.5,90.0,37.5,1.0,bmkg_2024_04.xlsx
2024-04-04,27.8,84.0,7.1,0.0,bmkg_2024_04.xlsx
2024-04-05,28.5,78.0,1.3,1.0,bmkg_2024_04.xlsx
2024-04-06,28.0,83.0,24.366666666666667,1.0,bmkg_2024_04.xlsx
2024-04-07,28.0,77.0,47.43333333333333,2.0,bmkg_2024_04.xlsx
2024-04-08,28.1,78.0,70.5,1.0,bmkg_2024_04.xlsx
2024-04-09,27.3,83.0,35.25,1.0,bmkg_2024_04.xlsx
2024-04-10,27.5,82.0,0.0,1.0,bmkg_2024_04.xlsx
2024-04-11,27.8,83.0,0.2,2.0,bmkg_2024_04.xlsx
2024-04-12,25.7,92.0,20.1,1.0,bmkg_2024_04.xlsx
2024-04-13,27.4,83.0,20.2,1.0,bmkg_2024_04.xlsx
2024-04-14,26.7,88.0,40.9,1.0,bmkg_2024_04.xlsx
2024-04-15,28.1,83.0,27.2,2.0,bmkg_2024_04.xlsx
2024-04-16,28.6,80.0,0.0,1.0,bmkg_2024_04.xlsx
2024-04-17,27.1,85.0,0.8,1.0,bmkg_2024_04.xlsx
2024-04-18,26.8,86.0,42.1,1.0,bmkg_2024_04.xlsx
2024-04-19,26.3,89.0,52.5,2.0,bmkg_2024_04.xlsx
2024-04-20,27.9,81.0,24.4,1.0,bmkg_2024_04.xlsx
2024-04-21,26.4,91.0,0.0,1.0,bmkg_2024_04.xlsx
2024-04-22,28.0,82.0,1.0,1.0,bmkg_2024_04.xlsx
2024-04-23,26.6,89.0,31.9,1.0,bmkg_2024_04.xlsx
2024-04-24,27.2,88.0,73.0,2.0,bmkg_2024_04.xlsx
2024-04-25,26.4,89.0,31.0,2.0,bmkg_2024_04.xlsx
2024-04-26,27.1,87.0,71.9,2.0,bmkg_2024_04.xlsx
2024-04-27,27.2,85.0,0.8,2.0,bmkg_2024_04.xlsx
2024-04-28,27.5,86.0,0.0,2.0,bmkg_2024_04.xlsx
2024-04-29,28.8,82.0,4.0,1.0,bmkg_2024_04.xlsx
2024-04-30,27.9,84.0,0.1,2.0,bmkg_2024_04.xlsx
2024-05-01,27.4,90.0,86.7,2.0,bmkg_2024_04.xlsx
2024-05-02,27.3,88.0,17.5,3.0,bmkg_2024_04.xlsx
2024-05-03,27.3,86.0,17.8,2.0,bmkg_2024_04.xlsx
2024-05-04,26.4,87.0,27.5,1.0,bmkg_2024_05.xlsx
2024-05-05,27.7,79.0,9.2,2.0,bmkg_2024_05.xlsx
2024-05-06,27.5,79.0,7.3999999999999995,2.0,bmkg_2024_05.xlsx
2024-05-07,28.3,78.0,5.6,2.0,bmkg_2024_05.xlsx
2024-05-08,27.5,81.0,3.8,2.0,bmkg_2024_05.xlsx
2024-05-09,28.2,79.0,2.0,2.0,bmkg_2024_05.xlsx
2024-05-10,28.9,77.0,0.1,2.0,bmkg_2024_05.xlsx
2024-05-11,27.4,84.0,0.85,2.0,bmkg_2024_05.xlsx
2024-05-12,28.6,78.0,1.6,3.0,bmkg_2024_05.xlsx
2024-05-13,27.6,83.0,16.55,3.0,bmkg_2024_05.xlsx
2024-05-14,26.6,88.0,31.5,1.0,bmkg_2024_05.xlsx
2024-05-15,28.7,75.0,0.9,3.0,bmkg_2024_05.xlsx
2024-05-16,26.8,86.0,0.8,2.0,bmkg_2024_05.xlsx
2024-05-17,26.9,85.0,109.3,2.0,bmkg_2024_05.xlsx
2024-05-18,27.2,83.0,8.7,3.0,bmkg_2024_05.xlsx
2024-05-19,26.8,88.0,38.8,2.0,bmkg_2024_05.xlsx
2024-05-20,27.4,83.0,32.7,1.0,bmkg_2024_05.xlsx
2024-05-21,27.9,83.0,17.450000000000003,1.0,bmkg_2024_05.xlsx
2024-05-22,28.2,81.0,2.2,2.0,bmkg_2024_05.xlsx
2024-05-23,27.0,87.0,1.25,2.0,bmkg_2024_05.xlsx
2024-05-24,26.2,89.0,0.3,3.0,bmkg_2024_05.xlsx
2024-05-25,25.6,93.0,146.6,1.0,bmkg_2024_05.xlsx
2024-05-26,27.6,84.0,2.5,1.0,bmkg_2024_05.xlsx
2024-05-27,27.8,80.0,2.4,2.0,bmkg_2024_05.xlsx
2024-05-28,28.3,81.0,2.3,1.0,bmkg_2024_05.xlsx
2024-05-29,28.5,79.0,5.4,1.0,bmkg_2024_05.xlsx
2024-05-30,27.8,80.0,8.5,1.0,bmkg_2024_05.xlsx
