tanggal,temperature_2m_max,temperature_2m_min,precipitation_sum,windspeed_10m_max,relative_humidity_2m_max
2019-01-01,26.3,23.9,8.0,18.8,91
2019-01-02,30.1,22.6,5.0,22.1,95
2019-01-03,29.6,23.0,12.7,15.1,96
2019-01-04,31.4,22.1,0.0,17.0,93
2019-01-05,30.7,21.3,2.0,9.0,95
2019-01-06,30.9,23.0,5.1,10.2,94
2019-01-07,30.8,23.1,13.2,9.5,97
2019-01-08,30.8,23.5,27.1,7.6,96
2019-01-09,29.3,23.1,12.2,10.5,98
2019-01-10,30.0,23.1,11.9,14.4,97
2019-01-11,30.5,23.0,12.1,10.7,95
2019-01-12,30.8,23.5,11.0,12.6,96
2019-01-13,29.5,23.0,13.0,10.5,99
2019-01-14,28.4,22.8,18.2,9.8,97
2019-01-15,28.4,23.0,1.6,19.1,97
2019-01-16,29.4,23.8,7.7,18.4,98
2019-01-17,27.9,22.9,2.9,18.8,99
2019-01-18,29.2,23.0,4.4,20.7,96
2019-01-19,29.2,23.3,6.1,12.8,95
2019-01-20,29.2,23.0,10.2,12.3,95
2019-01-21,29.3,23.0,26.5,13.7,95
2019-01-22,27.0,21.9,13.9,11.2,97
2019-01-23,28.8,21.8,6.6,13.8,93
2019-01-24,30.1,23.5,13.5,12.1,96
2019-01-25,26.5,22.8,12.2,12.3,97
2019-01-26,29.4,21.7,9.0,16.0,98
2019-01-27,27.8,23.0,26.5,17.9,98
2019-01-28,29.2,23.3,10.2,17.9,96
2019-01-29,28.3,22.5,6.1,14.1,96
2019-01-30,29.2,22.8,13.2,12.7,98
2019-01-31,29.9,22.7,5.7,13.7,97
2019-02-01,29.6,22.5,15.2,12.3,97
2019-02-02,29.5,22.3,5.7,7.6,99
2019-02-03,31.2,22.4,5.7,10.5,97
2019-02-04,30.7,22.2,3.2,17.1,99
2019-02-05,29.9,22.6,0.8,18.1,96
2019-02-06,29.5,22.9,7.3,11.3,96
2019-02-07,30.5,22.9,3.3,13.0,99
2019-02-08,29.4,22.9,8.5,9.4,99
2019-02-09,30.5,22.9,5.2,10.4,98
2019-02-10,28.9,23.5,15.8,11.5,98
2019-02-11,31.0,23.1,12.0,10.9,100
2019-02-12,29.2,23.0,7.9,8.4,97
2019-02-13,29.2,23.2,3.9,9.7,96
2019-02-14,30.7,22.0,5.1,12.6,96
2019-02-15,27.7,23.1,88.6,7.7,99
2019-02-16,30.6,23.0,39.0,11.8,98
2019-02-17,30.2,22.7,6.9,9.9,98
2019-02-18,28.2,23.4,8.4,9.9,96
2019-02-19,31.5,23.0,8.4,12.3,95
2019-02-20,29.9,22.6,26.4,9.2,97
2019-02-21,29.4,23.0,20.3,10.3,98
2019-02-22,29.5,22.9,20.1,16.8,98
2019-02-23,31.0,22.4,27.8,12.6,98
2019-02-24,29.4,22.8,11.0,12.7,97
2019-02-25,31.2,22.5,9.1,9.2,98
2019-02-26,31.0,23.1,2.5,15.3,98
2019-02-27,31.0,22.8,6.5,15.2,96
2019-02-28,31.0,24.2,20.5,8.8,97
2019-03-01,29.0,23.6,8.6,8.4,95
2019-03-02,29.4,22.8,8.6,10.8,98
2019-03-03,26.8,23.4,9.0,9.0,97
2019-03-04,31.4,22.5,2.1,10.9,96
2019-03-05,29.0,23.6,16.1,12.5,99
2019-03-06,26.8,22.9,24.0,8.1,97
2019-03-07,28.6,22.2,4.3,9.5,93
2019-03-08,31.5,22.4,12.9,10.7,96
2019-03-09,31.1,22.8,3.4,9.7,98
2019-03-10,32.0,22.8,0.0,20.4,99
2019-03-11,28.9,23.0,22.9,14.0,97
2019-03-12,29.6,22.7,9.7,10.0,97
2019-03-13,29.8,23.2,1.9,6.2,96
2019-03-14,30.7,23.7,3.1,8.8,97
2019-03-15,31.5,23.0,0.2,13.1,93
2019-03-16,30.1,23.3,8.7,11.3,95
2019-03-17,29.9,23.1,8.7,9.8,97
2019-03-18,30.3,22.5,2.7,13.4,96
2019-03-19,29.2,23.4,6.3,12.8,96
2019-03-20,30.1,22.5,2.7,13.2,98
2019-03-21,30.0,23.2,7.9,13.5,96
2019-03-22,31.0,22.8,4.9,13.8,96
2019-03-23,30.0,23.6,1.0,22.7,95
2019-03-24,29.4,23.5,0.2,19.2,95
2019-03-25,30.6,23.0,5.0,12.9,95
2019-03-26,30.7,22.1,16.3,10.4,97
2019-03-27,30.9,23.7,11.7,7.2,98
2019-03-28,30.5,23.0,4.4,8.7,97
2019-03-29,30.9,23.0,3.6,9.4,97
2019-03-30,30.4,23.7,0.1,6.7,95
2019-03-31,30.6,23.5,8.3,11.9,96
2019-04-01,30.2,23.1,18.9,9.0,98
2019-04-02,30.5,23.1,3.6,8.2,100
2019-04-03,30.5,22.5,7.2,9.3,95
