tanggal,temperature_2m_max,temperature_2m_min,precipitation_sum,windspeed_10m_max,relative_humidity_2m_max,TAVG_openmeteo
2024-04-03,30.6,24.4,13.1,9.3,98,27.5
2024-04-04,32.0,24.0,10.4,10.4,98,28.0
2024-04-05,31.8,23.5,7.6,10.0,98,27.65
2024-04-06,31.1,24.1,10.3,9.4,99,27.6
2024-04-07,32.7,23.5,3.2,8.1,98,28.1
2024-04-08,32.5,22.5,0.2,7.3,98,27.5
2024-04-09,31.4,24.4,11.9,11.9,96,27.9
2024-04-10,31.2,23.5,10.5,7.4,98,27.35
2024-04-11,31.3,23.8,20.2,8.9,95,27.55
2024-04-12,30.4,23.1,33.8,11.5,98,26.75
2024-04-13,31.5,23.6,16.0,10.5,96,27.55
2024-04-14,31.2,23.4,21.6,8.6,98,27.299999999999997
2024-04-15,31.5,23.5,6.4,11.0,98,27.5
2024-04-16,31.3,23.6,9.0,13.5,97,27.450000000000003
2024-04-17,31.5,23.2,6.9,12.8,98,27.35
2024-04-18,31.5,23.0,15.5,9.2,98,27.25
2024-04-19,31.3,23.7,3.2,13.0,99,27.5
2024-04-20,31.2,24.0,19.2,12.1,97,27.6
2024-04-21,30.9,23.9,18.0,11.9,99,27.4
2024-04-22,31.7,23.8,1.6,10.0,99,27.75
2024-04-23,31.5,24.2,16.9,13.4,98,27.85
2024-04-24,31.5,23.6,11.0,7.6,98,27.55
2024-04-25,30.5,23.9,36.1,7.2,99,27.2
2024-04-26,31.7,24.3,10.2,11.3,98,28.0
2024-04-27,31.3,23.8,27.2,15.1,98,27.55
2024-04-28,32.5,24.0,0.5,9.2,98,28.25
2024-04-29,32.7,23.8,9.8,10.5,97,28.25
2024-04-30,32.2,23.9,2.1,8.4,98,28.05
2024-05-01,31.0,23.9,5.9,8.4,99,27.45
2024-05-02,32.0,24.2,15.6,8.4,97,28.1
2024-05-03,32.0,23.9,1.9,8.7,99,27.95
2024-05-04,32.0,24.1,3.2,10.2,96,28.05
2024-05-05,31.8,23.5,0.6,8.5,100,27.65
2024-05-06,31.9,24.5,0.8,14.6,92,28.2
2024-05-07,32.2,23.4,0.4,6.5,96,27.8
2024-05-08,31.9,23.7,2.1,10.5,94,27.799999999999997
2024-05-09,31.9,23.4,2.0,9.7,95,27.65
2024-05-10,32.5,24.2,9.3,13.0,96,28.35
2024-05-11,32.0,24.0,11.0,11.2,98,28.0
2024-05-12,31.9,23.5,10.8,11.8,97,27.7
2024-05-13,32.0,23.9,20.4,9.8,97,27.95
2024-05-14,30.6,23.5,6.0,9.4,98,27.05
2024-05-15,32.1,24.3,1.2,12.4,97,28.200000000000003
2024-05-16,31.9,23.8,1.2,9.3,96,27.85
2024-05-17,32.3,23.8,0.1,9.5,98,28.049999999999997
2024-05-18,32.8,23.8,1.5,10.0,97,28.299999999999997
2024-05-19,32.5,23.1,5.0,10.0,97,27.8
2024-05-20,32.4,23.4,1.7,13.8,98,27.9
2024-05-21,32.8,23.2,1.4,8.8,98,28.0
2024-05-22,31.5,23.9,15.4,13.6,97,27.7
2024-05-23,30.8,23.6,21.1,9.7,98,27.200000000000003
2024-05-24,31.0,23.8,35.6,11.9,97,27.4
2024-05-25,25.9,24.0,26.5,8.1,98,24.95
2024-05-26,31.8,23.5,0.4,9.2,97,27.65
2024-05-27,32.5,23.5,1.7,8.6,98,28.0
2024-05-28,32.1,23.3,0.6,6.4,98,27.700000000000003
2024-05-29,31.5,23.4,1.2,7.6,98,27.45
2024-05-30,32.2,23.5,0.5,10.7,97,27.85
2024-05-31,32.3,23.9,0.0,6.0,94,28.099999999999998
2024-06-01,32.0,23.8,2.7,12.2,96,27.9
2024-06-02,31.3,23.6,6.4,9.4,98,27.450000000000003
2024-06-03,31.2,23.0,14.9,10.9,99,27.1
2024-06-04,31.8,23.9,0.3,11.6,99,27.85
2024-06-05,31.5,22.9,0.1,12.1,96,27.2
2024-06-06,32.0,23.0,0.2,9.7,92,27.5
2024-06-07,31.6,22.8,0.4,7.3,97,27.200000000000003
2024-06-08,31.9,22.1,1.0,11.4,97,27.0
2024-06-09,31.2,23.2,4.7,9.6,98,27.2
2024-06-10,32.6,23.2,8.6,8.2,97,27.9
2024-06-11,30.2,23.2,14.1,11.2,98,26.7
2024-06-12,30.8,22.9,20.8,10.8,99,26.85
2024-06-13,29.9,22.9,8.2,11.8,99,26.4
2024-06-14,31.0,23.0,8.5,10.4,98,27.0
2024-06-15,31.1,22.6,16.6,12.9,97,26.85
2024-06-16,30.0,23.2,4.0,8.9,99,26.6
2024-06-17,31.2,23.0,0.8,7.2,99,27.1
2024-06-18,29.6,22.8,10.1,8.8,96,26.200000000000003
2024-06-19,31.4,22.1,0.5,10.3,98,26.75
2024-06-20,31.1,21.4,0.0,8.3,99,26.25
2024-06-21,31.8,21.5,0.1,8.7,96,26.65
2024-06-22,31.5,22.0,0.3,10.2,98,26.75
2024-06-23,31.6,21.5,0.0,10.4,90,26.55
2024-06-24,31.1,22.5,2.0,12.2,96,26.8
2024-06-25,31.8,23.0,13.6,10.6,98,27.4
2024-06-26,31.3,22.1,0.4,12.6,98,26.700000000000003
2024-06-27,32.2,22.6,2.6,15.0,96,27.400000000000002
2024-06-28,31.4,23.5,7.3,10.5,97,27.45
2024-06-29,30.9,22.9,6.2,13.6,99,26.9
2024-06-30,31.9,22.5,1.2,7.6,98,27.2
2024-07-01,30.8,23.4,13.8,9.3,99,27.1
2024-07-02,30.8,22.6,6.4,10.5,98,26.700000000000003
2024-07-03,31.5,22.5,6.3,10.3,97,27.0
2024-07-04,30.4,22.4,9.1,8.8,96,26.4
2024-07-05,30.2,23.2,5.3,18.0,96,26.7
2024-07-06,27.1,22.5,14.0,18.5,98,24.8
2024-07-07,29.7,21.9,7.5,12.6,99,25.799999999999997
2024-07-08,31.5,21.5,11.3,12.4,97,26.5
2024-07-09,30.3,22.5,20.5,9.5,99,26.4
2024-07-10,31.1,22.3,0.0,11.7,96,26.700000000000003
2024-07-11,31.4,21.5,1.0,7.2,96,26.45
2024-07-12,30.9,22.8,0.1,9.7,94,26.85
2024-07-13,30.9,19.0,0.0,8.4,92,24.95
2024-07-14,30.4,20.9,0.0,9.4,91,25.65
2024-07-15,30.4,20.2,0.0,16.0,86,25.299999999999997
2024-07-16,31.8,20.6,0.0,10.2,87,26.200000000000003
2024-07-17,31.9,20.6,1.2,10.5,93,26.25
2024-07-18,31.4,22.5,0.1,8.0,96,26.95
2024-07-19,32.6,23.2,0.2,13.2,93,27.9
2024-07-20,32.8,21.6,0.5,10.4,99,27.2
2024-07-21,33.6,22.5,0.0,13.3,90,28.05
2024-07-22,33.8,23.1,0.0,14.5,86,28.45
2024-07-23,33.3,23.8,0.0,13.0,82,28.549999999999997
2024-07-24,32.7,24.5,0.6,10.5,84,28.6
2024-07-25,31.5,23.5,4.0,9.3,95,27.5
2024-07-26,34.1,22.1,0.9,15.9,97,28.1
2024-07-27,34.5,21.8,0.0,14.5,94,28.15
2024-07-28,33.1,22.1,0.0,11.6,93,27.6
2024-07-29,34.5,22.5,0.3,12.2,90,28.5
2024-07-30,34.4,23.0,0.2,12.6,87,28.7
2024-07-31,35.5,22.5,0.1,16.9,83,29.0
2024-08-01,34.0,23.1,2.9,10.5,96,28.55
2024-08-02,33.6,22.5,9.9,12.4,97,28.05
2024-08-03,33.0,22.6,3.7,9.8,99,27.8
